일자,중식계,석식계
2021-01-27,1041.0031293770598,391.3905258905536
2021-01-28,922.0157945468692,455.8782113555261
2021-01-29,653.542933757827,268.1014064555708
2021-02-01,1226.9088568660768,605.4362087613515
2021-02-02,1022.8452707426407,489.5913386366755
2021-02-03,974.3095307695726,306.35900157704117
2021-02-04,903.6084328813323,460.7426842164894
2021-02-05,639.1856480619131,391.9520619132276
2021-02-08,1222.2592894822117,561.8136766545833
2021-02-09,1053.3799096295486,493.17706135188536
2021-02-10,808.2859168055729,359.01262323355866
2021-02-15,1197.5898126292427,653.213932919992
2021-02-16,1020.9768086008871,473.13573054862616
2021-02-17,1036.2163724048453,385.2630849480504
2021-02-18,822.1919156216895,435.55763216452175
2021-02-19,605.8660678508421,360.90169578668366
2021-02-22,1165.4726283906416,521.1298063933835
2021-02-23,932.1541930799224,439.2215031005686
2021-02-24,838.3932746083553,233.30244641036649
2021-02-25,794.0425408177023,411.63610084200405
2021-02-26,566.4741991079482,300.1127658670714
2021-03-02,1089.9308899207053,521.5708415331171
2021-03-03,1019.8049975374761,418.7738626255853
2021-03-04,872.315550957249,427.1709960410626
2021-03-05,658.6990728834212,352.80311228876724
2021-03-08,1234.519742449504,540.779990860999
2021-03-09,1044.264604381147,473.6491010275693
2021-03-10,1040.4482556921755,388.3011972296659
2021-03-11,864.4728137937009,434.79276275590223
2021-03-12,692.2913759136568,311.8949567305101
2021-03-15,1188.5960736294883,578.1154199237867
2021-03-16,1058.7121029182513,448.87304251494936
2021-03-17,1054.693766785451,357.62817428723326
2021-03-18,875.1385642599168,457.3949500651139
2021-03-19,630.9843739725484,248.84938362257267
2021-03-22,1249.5211261592146,610.7276351435067
2021-03-23,954.2211388633298,476.13279374464713
2021-03-24,876.6192420209255,342.6334796831842
2021-03-25,796.1934650583659,410.3031509348874
2021-03-26,621.973545226329,305.56185343489835
2021-03-29,1238.1857913933209,573.8532783334878
2021-03-30,995.6127440039119,473.1347646014476
2021-03-31,914.5032666143532,318.2779909614792
2021-04-01,808.2525996816267,408.6491236130042
2021-04-02,596.081448887727,248.77560296223982
2021-04-05,1232.1930172678765,598.4817312943198
2021-04-06,1050.2247717519303,516.93137334194
2021-04-07,932.1124266298468,294.7384497920318
2021-04-08,840.1212362607148,419.7239213496433
2021-04-09,586.129433622835,267.261259700611
