일자,중식계,석식계
2021-01-27,995.3168935186586,347.0310221307398
2021-01-28,957.0937321735677,439.8342646034098
2021-01-29,648.4703548001048,318.33158965575785
2021-02-01,1179.3165051897104,505.1329394699241
2021-02-02,972.945574188397,453.69759683613285
2021-02-03,950.4472701405185,364.5608355170059
2021-02-04,925.7931053953563,464.64908507198083
2021-02-05,622.4694171570872,325.5860265683238
2021-02-08,1207.0602417024045,607.5029413939451
2021-02-09,981.2282984426082,489.9180740119412
2021-02-10,949.7323368462777,341.828121011405
2021-02-15,1258.5032093271354,620.1032877743263
2021-02-16,1086.128604000118,622.1195014252586
2021-02-17,990.5774608476904,359.92204175424905
2021-02-18,860.5155276636493,517.0551942988095
2021-02-19,607.0594383487933,362.5370484966032
2021-02-22,1208.4144545145807,600.5406434265306
2021-02-23,977.1400438274577,582.6817546171552
2021-02-24,822.8127312558427,338.2684836507806
2021-02-25,817.8974072132896,477.52526505945434
2021-02-26,561.3439614807204,331.68983260735524
2021-03-02,1028.6228469956366,574.7091501163944
2021-03-03,983.316974770811,346.65929005578886
2021-03-04,915.5899011396783,528.9040560455761
2021-03-05,595.1467830096634,329.5741618815357
2021-03-08,1245.0896358819994,614.4088838859055
2021-03-09,1084.5829538971695,606.3473329588816
2021-03-10,932.95317851577,335.4969314395352
2021-03-11,901.7164771354205,515.6167542860403
2021-03-12,640.572975007575,311.23908810437206
2021-03-15,1263.4182293813617,594.3367662633295
2021-03-16,1049.2868682155731,566.1509621113494
2021-03-17,996.2511086325613,329.5827352905353
2021-03-18,924.1828673772798,450.6142211668739
2021-03-19,616.8258276316852,318.7310171881816
2021-03-22,1241.2080045288633,578.74181451115
2021-03-23,1023.8255107940366,552.127156224947
2021-03-24,916.8522293083109,348.23106446102
2021-03-25,829.7327917578492,439.1264704110924
2021-03-26,606.1547319712389,331.8518237900891
2021-03-29,1230.0760419157166,576.6863306748775
2021-03-30,1005.3392944536454,543.6950789832858
2021-03-31,962.2677090439132,360.259983348886
2021-04-01,836.0131758376987,434.33250088880095
2021-04-02,603.9788336933447,329.6551787725114
2021-04-05,1232.4402572782146,576.688619179661
2021-04-06,1044.1580521822355,558.5166399244996
2021-04-07,976.3600726066921,345.5292030532544
2021-04-08,894.9132686347075,448.2205495097118
2021-04-09,604.6578464862739,334.21007713642024
